Playlist Title,Playlist Version,Track Title,Track Asin,Track Artist Name,Track Artist Asin,Track Album Name,Track Album Asin,Track Creation Date,Track Last Updated Time,Number of Followers
Brass Ensemble NABBA Possibilites,2,2,519,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 14:52:27 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia
Brass Ensemble NABBA Possibilites,3,3,696,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 14:57:50 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes
Brass Ensemble NABBA Possibilites,4,4,1233,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 15:00:34 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque
Brass Ensemble NABBA Possibilites,5,5,1498,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 15:02:29 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque,B018IER9K8:Tiera
Brass Ensemble NABBA Possibilites,6,6,1782,true,true,true,2021-12-04 14:44:24 UTC,2021-12-05 15:47:16 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque,B018IER9K8:Tiera,B0161R8SAE:Music for Brass
Opera,1,0,0,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:44:52 UTC,false,0,
Opera,2,1,181,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:52:49 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel
Opera,3,2,302,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:54:59 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh)
Opera,4,3,384,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:55:08 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan)
Opera,5,4,501,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:55:16 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge)
Opera,6,5,755,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:55:21 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge)
Opera,7,6,821,true,true,true,2020-03-22 00:44:52 UTC,2020-03-29 03:25:23 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf
Opera,8,7,1262,true,true,true,2020-03-22 00:44:52 UTC,2020-03-29 03:30:35 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung
Opera,9,8,1930,true,true,true,2020-03-22 00:44:52 UTC,2020-04-07 14:21:54 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung,B00968M1AY:Wagner: Das Rheingold, WWV 86A / Vierte Szene - He da! He da! He do! - Rheingold! Rheingold!
Opera,10,7,1749,true,true,true,2020-03-22 00:44:52 UTC,2020-04-26 00:45:23 UTC,false,0,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung,B00968M1AY:Wagner: Das Rheingold, WWV 86A / Vierte Szene - He da! He da! He do! - Rheingold! Rheingold!
Opera,11,8,2217,true,true,true,2020-03-22 00:44:52 UTC,2020-04-26 00:51:07 UTC,false,0,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung,B00968M1AY:Wagner: Das Rheingold, WWV 86A / Vierte Szene - He da! He da! He do! - Rheingold! Rheingold!,B0013AH8Z6:Die Walküre, WWV 86B: Magic Fire Music
Opera,12,9,2981,true,true,true,2020-03-22 00:44:52 UTC,2020-04-26 00:55:56 UTC,false,0,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung,B00968M1AY:Wagner: Das Rheingold, WWV 86A / Vierte Szene - He da! He da! He do! - Rheingold! Rheingold!,B0013AH8Z6:Die Walküre, WWV 86B: Magic Fire Music,B0013AF9FW:Götterdämmerung, WWV 86D: Siegfried's Rhine Journey
Opera,13,10,3233,true,true,true,2020-03-22 00:44:52 UTC,2020-06-11 03:03:32 UTC,false,0,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan),B06XYDNRZQ:Das Rheingold, WWV 86A, Scene IV: So gruss' ich die Burg (Wotan, Fricka, Loge),B06XYKX99B:Das Rheingold, WWV 86A, Scene IV: Rheingold! Rheingold! Reines Gold! (Rhinemaidens, Wotan, Loge),B07HNGY5DS:Siegfried: Siegfrieds Kampf,B07HNQ5PLF:Götterdämmerung: Vorspiel - Morgendämmerung,B00968M1AY:Wagner: Das Rheingold, WWV 86A / Vierte Szene - He da! He da! He do! - Rheingold! Rheingold!,B0013AH8Z6:Die Walküre, WWV 86B: Magic Fire Music,B0013AF9FW:Götterdämmerung, WWV 86D: Siegfried's Rhine Journey,B0017M1TKK:Puccini: La bohème, SC 67 / Act I - "O soave fanciulla"
