unix,low,high,open,close,volume,date,vol_fiat
1651881600,34785.0,36125.0,35999.1,35458.0,11372.45319184,2022-05-07,403244445.27626276
1651795200,35255.4,36664.4,36537.22,35999.1,28626.6487821,2022-05-06,1030533592.1716961
1651708800,35568.0,39864.55,39669.56,36537.22,28832.99792317,2022-05-05,1053477588.3784055
1651622400,37651.38,40038.27,37719.58,39669.56,21513.95419034,2022-05-04,853449096.5909439
1651536000,37505.01,38643.48,38510.88,37719.59,17946.99450089,2022-05-03,676953274.3058254
1651449600,38041.0,39181.27,38469.49,38510.89,17946.98346298,2022-05-02,691154305.9746418
1651363200,37401.0,38675.37,37640.35,38473.05,7980.89975954,2022-05-01,307049555.4937704
1651276800,37590.0,38795.0,38592.27,37644.1,6931.07200088,2022-04-30,260913967.5083268
1651190400,38161.85,39926.8,39741.21,38593.1,14282.25993546,2022-04-29,551196685.9152013
1651104000,38883.83,40400.0,39251.02,39743.22,16718.83057299,2022-04-28,664460161.6050676
1651017600,37882.83,39470.0,38118.43,39251.11,20832.19649199,2022-04-27,817686836.0487136
1650931200,37700.0,40817.16,40440.9,38113.82,21648.1142493,2022-04-26,825092329.8372554
1650844800,38210.24,40605.3,39463.75,40439.22,20515.87532995,2022-04-25,829645995.9604206
1650758400,39000.0,39945.74,39459.63,39464.56,6436.45656858,2022-04-24,254011926.4381195
1650672000,39296.19,39993.82,39712.2,39465.87,6957.16710365,2022-04-23,274570652.48092747
1650585600,39174.8,40802.65,40483.38,39712.25,16871.32104798,2022-04-22,669998119.2876438
1650499200,39744.75,43109.47,41371.88,40480.81,17204.35326683,2022-04-21,696446155.7674245
1650412800,40900.0,42209.58,41501.56,41377.61,14609.28392672,2022-04-20,604497252.6990887
1650326400,40571.99,41772.94,40810.87,41503.85,10218.113707,2022-04-19,424091058.5782719
1650240000,38550.0,41100.0,39681.11,40803.58,13090.79423386,2022-04-18,534151269.7848453
1650153600,39553.07,40605.46,40387.6,39683.54,4833.31493601,2022-04-17,191803046.59575027
1650067200,40005.0,40699.99,40554.6,40387.6,4084.16565112,2022-04-16,164949648.6511741
1649980800,39770.22,40850.0,39953.62,40554.58,6448.01134712,2022-04-15,261496392.01768583
1649894400,39573.8,41512.43,41147.15,39954.08,11020.37202049,2022-04-14,440308825.3364191
1649808000,39550.0,41570.88,40086.7,41146.68,11457.63380548,2022-04-13,471443591.7512678
1649721600,39250.0,40705.68,39535.88,40086.23,13866.41847396,2022-04-12,555852440.2234097
1649635200,39204.59,42424.14,42165.96,39535.87,17229.3729009,2022-04-11,681178247.1915054
1649548800,41885.86,43443.32,42766.46,42165.96,5770.49368126,2022-04-10,243318405.7442619
1649462400,42118.96,42816.38,42261.9,42766.93,4805.71689778,2022-04-09,205525758.16717443
1649376000,42112.0,44000.0,43444.71,42262.02,11929.52123708,2022-04-08,504165665.1118997
1649289600,42734.69,43908.58,43166.71,43452.18,13245.36612438,2022-04-07,575540033.0024621
1649203200,43115.26,45523.25,45509.92,43166.7,24250.37283725,2022-04-06,1046808569.1537195
1649116800,45371.16,47200.0,46594.39,45506.5,14390.57308541,2022-04-05,654864614.1112102
1649030400,45129.93,46900.0,46420.08,46596.83,13802.44111729,2022-04-04,643150002.3273722
